layer,who,surgery,cpt,status,scope,policy_title,effective,url
Commercial/ACA,Aetna (CVS Health),Hip arthroscopy,29914-29916,VERIFIED,National,Hip Preservation Surgery (CPB 0736),Last Review Date: 2026-07-31,https://www.aetna.com/cpb/medical/data/700_799/0736.html
Commercial/ACA,Aetna (CVS Health),Lumbar fusion,22612,VERIFIED,National,Spinal Surgery: Laminectomy and Fusion (CPB 0743),2026-07-30,https://www.aetna.com/cpb/medical/data/700_799/0743.html
Commercial/ACA,Aetna (CVS Health),Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Spinal Surgery: Laminectomy and Fusion (CPB 0743),2026-07-30,https://www.aetna.com/cpb/medical/data/700_799/0743.html
Commercial/ACA,Aetna (CVS Health),Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED,National,MRI of the Extremities (CPB 0171) + MRI/CT of the Spine (CPB 0236),Last Review Date: 2026-03-31,https://www.aetna.com/cpb/medical/data/100_199/0171.html
Commercial/ACA,Aetna (CVS Health),Total ankle arthroplasty,27702,VERIFIED,National,Total Ankle Arthroplasty (CPB 0645),Last Review Date: 2026-05-15,https://www.aetna.com/cpb/medical/data/600_699/0645.html
Commercial/ACA,Aetna (CVS Health),Total hip arthroplasty (THA),27130,VERIFIED,National,Hip Arthroplasty (CPB 0287),Last Review Date: 2026-07-17,https://www.aetna.com/cpb/medical/data/200_299/0287.html
Commercial/ACA,Aetna (CVS Health),Total knee arthroplasty (TKA),27447,VERIFIED,National,Knee Arthroplasty (CPB 0660),Last Review Date: 2026-02-26,https://www.aetna.com/cpb/medical/data/600_699/0660.html
Commercial/ACA,Aetna (CVS Health),Total shoulder arthroplasty,23472,VERIFIED,National,Shoulder Arthroplasty and Arthrodesis (CPB 0837),"Last Review Date: June 25, 2026",https://www.aetna.com/cpb/medical/data/800_899/0837.html
Commercial/ACA,BCBS Michigan,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Imaging of the Extremitie,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/imaging-of-the-extremities-2025-11-15/
Commercial/ACA,BCBS North Carolina,Arthroscopic rotator cuff repair,29827,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/joint-surgery-2025-11-15/
Commercial/ACA,BCBS North Carolina,Bunionectomy / hallux valgus,28296,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Small Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/small-joint-surgery-2025-11-15/
Commercial/ACA,BCBS North Carolina,Cervical fusion / ACDF,22551,VERIFIED,National,Cervical Spine Procedures - Commercial Medical Policy,Last review 02/2025 (orig. eff. 06/2023),https://www.bluecrossnc.com/providers/policies-guidelines-codes/commercial/surgery/updates/cervical-spine-procedures
Commercial/ACA,BCBS North Carolina,Hip arthroscopy,29914-29916,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/joint-surgery-2025-11-15/
Commercial/ACA,BCBS North Carolina,Lumbar fusion,22612,VERIFIED,National,Lumbar Spine Procedures - Commercial Medical Policy,Last review 05/2025 (orig. eff. 09/2010),https://www.bluecrossnc.com/providers/policies-guidelines-codes/commercial/surgery/updates/lumbar-spine-procedures
Commercial/ACA,BCBS North Carolina,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Lumbar Spine Procedures - Commercial Medical Policy,Last review 05/2025 (orig. eff. 09/2010),https://www.bluecrossnc.com/providers/policies-guidelines-codes/commercial/surgery/updates/lumbar-spine-procedures
Commercial/ACA,BCBS North Carolina,Total ankle arthroplasty,27702,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Small Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/small-joint-surgery-2025-11-15/
Commercial/ACA,BCBS North Carolina,Total hip arthroplasty (THA),27130,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/joint-surgery-2025-11-15/
Commercial/ACA,BCBS North Carolina,Total knee arthroplasty (TKA),27447,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/joint-surgery-2025-11-15/
Commercial/ACA,BCBS North Carolina,Total shoulder arthroplasty,23472,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Joint Surgery,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/joint-surgery-2025-11-15/
Commercial/ACA,Blue Shield of California,Arthroscopic rotator cuff repair,29827,VERIFIED,National,Partial Thickness Rotator Cuff Tears and Acromioplasty/Subacromial Dec,7/1/2026,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Partial-Thickness-Rotator-Cuff-Tears-Acromioplasty-Subacromial-Decompression.pdf
Commercial/ACA,Blue Shield of California,Cervical fusion / ACDF,22551,VERIFIED,National,Cervical Spine Surgery (BSC_EVO_1759),7/1/2025,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Cervical-Spine-Surgery.pdf
Commercial/ACA,Blue Shield of California,Hip arthroscopy,29914-29916,VERIFIED,National,Surgical Treatment of Femoroacetabular Impingement (7.01.118),8/1/2026,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Surgical-TX-Femoroacetabular-Impingement.pdf
Commercial/ACA,Blue Shield of California,Lumbar fusion,22612,VERIFIED,National,Lumbar Spine Surgery (BSC_EVO_1766),7/1/2025,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Lumbar-Spine-Surgery.pdf
Commercial/ACA,Blue Shield of California,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Lumbar Spine Surgery (BSC_EVO_1766),7/1/2025,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Lumbar-Spine-Surgery.pdf
Commercial/ACA,Blue Shield of California,Total hip arthroplasty (THA),27130,VERIFIED,National,Hip Arthroplasty for Adults (BSC7.11),11/1/2025,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Hip-Arthroplasty-Adults.pdf
Commercial/ACA,Blue Shield of California,Total knee arthroplasty (TKA),27447,VERIFIED,National,Knee Arthroplasty for Adults (BSC7.10),12/1/2025,https://www.blueshieldca.com/content/dam/bsca/en/provider/docs/medical-policies/Knee-Arthroplasty-Adults.pdf
Commercial/ACA,Centene (Ambetter/WellCare),Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Clinical Policy: Disc Decompression Procedures (CP.MP.114),Date of Last Revision: 04/25,https://www.ambetterhealth.com/content/dam/centene/ambetteril/clinical-policies/CP.MP.114.pdf
Commercial/ACA,Cigna,ACL reconstruction,29888,VERIFIED,National,Cigna CMM-312 Knee Surgery Arthroscopic/Open (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-12/Cigna_CMM-312%20Knee%20Surg%20Arthro%20&%20Open%20Proc_eff03.07.2026_pub12.11.2025.pdf
Commercial/ACA,Cigna,Arthroscopic rotator cuff repair,29827,VERIFIED,National,Cigna CMM-315 Shoulder Surgery Arthroscopic/Open (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-315%20Shoulder%20Surg%20Arthro%20Open%20Proc_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf
Commercial/ACA,Cigna,Cervical fusion / ACDF,22551,VERIFIED,National,Cigna Medical Coverage Policies - Musculoskeletal: CMM-601 Anterior Ce,08/04/2026,https://www.evicore.com/sites/default/files/clinical-guidelines/2026-04/Cigna_CMM-601%20Ant%20Cerv%20Discec%20%26%20Fusion_V1.0.2026_Eff08.04.2026_Pub04.28.2026.pdf
Commercial/ACA,Cigna,Hip arthroscopy,29914-29916,VERIFIED,National,Cigna CMM-314 Hip Surgery Arthroscopic/Open (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-314%20Hip%20Surg%20Arthro%20Open%20Proc_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf
Commercial/ACA,Cigna,Lumbar fusion,22612,VERIFIED,National,Cigna CMM-609 Lumbar Fusion (via eviCore),"December 18, 2025",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna%20CMM-609%20Lumbar%20Fusion_Final_V2.0.2025_Eff12.18.2025_pub11.18.2025.pdf
Commercial/ACA,Cigna,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Cigna Medical Coverage Policies - Musculoskeletal: CMM-606 Lumbar Micr,08/04/2026,https://www.evicore.com/sites/default/files/clinical-guidelines/2026-04/Cigna_CMM-606%20Lumbar%20Microdiscectomy_V1.0.2026_Eff08.04.2026_Pub04.30.2026.pdf
Commercial/ACA,Cigna,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED,National,Cigna MSK Imaging Guidelines + Spine Imaging Guidelines (via eviCore),"February 03, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-10/Cigna_Musculoskeletal%20Imaging%20Guidelines_V1.0.2026_eff02.03.2026_PUB10.29.2025.pdf
Commercial/ACA,Cigna,Total ankle arthroplasty,27702,VERIFIED,National,Cigna Medical Coverage Policy 0285 Total Ankle Arthroplasty,3/15/2026,https://static.cigna.com/assets/chcp/pdf/coveragePolicies/medical/mm_0285_coveragepositioncriteria_total_ankle_arthroplasty.pdf
Commercial/ACA,Cigna,Total hip arthroplasty (THA),27130,VERIFIED,National,Cigna CMM-313 Hip Replacement/Arthroplasty (via eviCore),"Effective Date: March 7, 2026; Published",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-313%20Hip%20Replacement%20Arthro_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf
Commercial/ACA,Cigna,Total knee arthroplasty (TKA),27447,VERIFIED,National,Cigna CMM-311 Knee Replacement/Arthroplasty (via eviCore),2026-03-07,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-311%20Knee%20Replacement%20Arthroplasty_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf
Commercial/ACA,Cigna,Total shoulder arthroplasty,23472,VERIFIED,National,Cigna CMM-318 Shoulder Arthroplasty (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-12/Cigna_CMM-318_Shoulder%20Arthro%20Replace%20Revision_V2.0.2025_Eff03.07.2026_Pub12.11.2025.pdf
Commercial/ACA,Elevance / Anthem BCBS,Arthroscopic rotator cuff repair,29827,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Musculoskeletal - Joint S,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/wp-content/uploads/2025/11/PDF-Joint-Surgery-2025-11-15.pdf
Commercial/ACA,Elevance / Anthem BCBS,Bunionectomy / hallux valgus,28296,VERIFIED,National,Clinical Appropriateness Guidelines: Small Joint Surgery (Carelon),11/05/2023,https://files.providernews.anthem.com/2519/PDF-Small-Joint-Surgery-2023-11-05.pdf
Commercial/ACA,Elevance / Anthem BCBS,Cervical fusion / ACDF,22551,VERIFIED,National,Clinical Appropriateness Guidelines: Spine Surgery (Carelon),2024-10-20,https://files.providernews.anthem.com/4827/pdf-Spine-Surgery-2024-10-20.pdf
Commercial/ACA,Elevance / Anthem BCBS,Hip arthroscopy,29914-29916,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Musculoskeletal - Joint S,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/wp-content/uploads/2025/11/PDF-Joint-Surgery-2025-11-15.pdf
Commercial/ACA,Elevance / Anthem BCBS,Lumbar fusion,22612,VERIFIED,National,Clinical Appropriateness Guidelines: Spine Surgery (Carelon),2024-10-20,https://files.providernews.anthem.com/4827/pdf-Spine-Surgery-2024-10-20.pdf
Commercial/ACA,Elevance / Anthem BCBS,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Clinical Appropriateness Guidelines: Spine Surgery (Carelon),2024-10-20,https://files.providernews.anthem.com/4827/pdf-Spine-Surgery-2024-10-20.pdf
Commercial/ACA,Elevance / Anthem BCBS,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED,National,Imaging of the Extremities + Imaging of the Spine (Carelon),"October 20, 2024 (Revised)",https://files.providernews.anthem.com/4819/PDF-Imaging-of-the-Extremities-2024-10-20.pdf
Commercial/ACA,Elevance / Anthem BCBS,Total ankle arthroplasty,27702,VERIFIED,National,Clinical Appropriateness Guidelines: Small Joint Surgery (Carelon),11/05/2023,https://files.providernews.anthem.com/2519/PDF-Small-Joint-Surgery-2023-11-05.pdf
Commercial/ACA,Elevance / Anthem BCBS,Total hip arthroplasty (THA),27130,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Musculoskeletal - Joint S,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/wp-content/uploads/2025/11/PDF-Joint-Surgery-2025-11-15.pdf
Commercial/ACA,Elevance / Anthem BCBS,Total knee arthroplasty (TKA),27447,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Musculoskeletal - Joint S,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/wp-content/uploads/2025/11/PDF-Joint-Surgery-2025-11-15.pdf
Commercial/ACA,Elevance / Anthem BCBS,Total shoulder arthroplasty,23472,VERIFIED,National,Carelon Clinical Appropriateness Guidelines: Musculoskeletal - Joint S,11/15/2025,https://guidelines.carelonmedicalbenefitsmanagement.com/wp-content/uploads/2025/11/PDF-Joint-Surgery-2025-11-15.pdf
Commercial/ACA,Florida Blue / GuideWell,ACL reconstruction,29888,VERIFIED,National,"Knee Arthroscopy and Open, Non-Arthroplasty Knee Repair (MCG 02-20000-",Original 10/15/16; Last Revised 06/15/26,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-65&pv=false
Commercial/ACA,Florida Blue / GuideWell,Cervical fusion / ACDF,22551,VERIFIED,National,Cervical Spine Surgery (MCG 02-20000-45),Original 07/01/15; Last Revised 04/15/26,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-45&pv=false
Commercial/ACA,Florida Blue / GuideWell,Hip arthroscopy,29914-29916,VERIFIED,National,"Hip Arthroscopy and Open, Non-Arthroplasty Hip Repair (MCG 02-20000-55",Original Effective Date 10/15/16; Last R,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-55&pv=false
Commercial/ACA,Florida Blue / GuideWell,Lumbar fusion,22612,VERIFIED,National,Thoracic and Lumbar Spine Surgery (MCG 02-20000-48),Original 07/01/15; Last Revised 06/15/26,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-48&pv=false
Commercial/ACA,Florida Blue / GuideWell,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,Thoracic and Lumbar Spine Surgery (MCG 02-20000-48),Original 07/01/15; Last Revised 06/15/26,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-48&pv=false
Commercial/ACA,Florida Blue / GuideWell,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED,National,MRI Lower Extremity (04-70540-16) / Upper Extremity (04-70540-15) / Sp,Original Effective Date 07/01/07; Last R,https://mcgs.bcbsfl.com/MCG?mcgId=04-70540-16&pv=false
Commercial/ACA,Florida Blue / GuideWell,Total ankle arthroplasty,27702,VERIFIED,National,Total Ankle Replacement (MCG 02-99221-15),Original 02/15/10; Last Revised 04/15/26,https://mcgs.bcbsfl.com/MCG?mcgId=02-99221-15&pv=false
Commercial/ACA,Florida Blue / GuideWell,Total hip arthroplasty (THA),27130,VERIFIED,National,Hip Arthroplasty (MCG 02-20000-50),Original 10/15/16; Last Revised 02/15/25,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-50&pv=false
Commercial/ACA,Florida Blue / GuideWell,Total knee arthroplasty (TKA),27447,VERIFIED,National,Knee Arthroplasty (MCG 02-20000-60),Original 10/15/16; Last Revised 05/15/26,https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-60&pv=false
Commercial/ACA,Highmark,ACL reconstruction,29888,VERIFIED,National,EviCore CMM-312: Knee Surgery-Arthroscopic and Open Procedures (V1.0.2,07/01/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-02/EviCore_CMM-312%20Knee%20Surg%20Arthro_Final_V1.0.2025_Pub02.25.2025.pdf
Commercial/ACA,Highmark,Arthroscopic rotator cuff repair,29827,VERIFIED,National,EviCore CMM-315: Shoulder Surgery-Arthroscopic and Open Procedures (V1,07/01/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-02/EviCore_CMM-315%20Shoulder%20Surg%20Arthro_Final_V1.0.2025_Pub02.25.2025.pdf
Commercial/ACA,Highmark,Cervical fusion / ACDF,22551,VERIFIED,National,EviCore CMM-601: Anterior Cervical Discectomy and Fusion (V1.0.2025),07/01/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-02/EviCore_CMM-601%20Ant%20Cerv%20Disc_Final_V1.0.2025_Pub02.26.2025.pdf
Commercial/ACA,Highmark,Hip arthroscopy,29914-29916,VERIFIED,National,EviCore CMM-314: Hip Surgery-Arthroscopic and Open Procedures (V1.0.20,07/01/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-02/EviCore_CMM-314%20Hip%20Surg%20Arthro%20Open%20Proc_Final_V1.0.2025_Pub02.25.2025.pdf
Commercial/ACA,Highmark,Lumbar fusion,22612,VERIFIED,National,EviCore CMM-609: Lumbar Fusion (Arthrodesis) (V1.0.2025),07/01/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-02/EviCore_CMM-609%20Lumbar%20Fusion_FINAL_V1.0.2025_Pub02.26.2025.pdf
Commercial/ACA,Highmark,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,"EviCore CMM-606: Lumbar Microdiscectomy (Laminotomy, Laminectomy, or H",07/01/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-03/EviCore_CMM-606%20Lumb%20Microdis_Final_V1.0.2025_Pub03.11.2025.pdf
Commercial/ACA,Highmark,Total hip arthroplasty (THA),27130,VERIFIED,National,EviCore CMM-313: Hip Replacement/Arthroplasty (V2.0.2025),11/05/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-07/EviCore_CMM-313%20Hip%20Replac%20Arthro_Final_V2.0.2025_eff11.05.2025_pub07.22.2025.pdf
Commercial/ACA,Highmark,Total knee arthroplasty (TKA),27447,VERIFIED,National,EviCore CMM-311: Knee Replacement/Arthroplasty (V2.0.2025),11/05/2025,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-08/EviCore_CMM-311%20Knee%20Replacement%20Arthroplasty_V2.0.2025_Eff11.05.2025_upd08.12.2025.pdf
Commercial/ACA,Molina Healthcare,Bunionectomy / hallux valgus,28296,VERIFIED,National,Molina Clinical Policy MCP-700 Foot Surgery: Bunionectomy,Last Approval 4/13/2023; Next Review Due,https://www.molinahealthcare.com/-/media/Molina/PublicWebsite/PDF/Providers/oh/medicaid/policies/MCP-700-Foot-Surgery-Bunionectomy-0823.pdf
Commercial/ACA,Molina Healthcare,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED,National,Molina MCP-633 Lower Extremity MRI + MCR-621 Lumbar Spine MRI (shoulde,Last Approval 12/8/2021; Next Review Due,https://www.molinahealthcare.com/~/media/Molina/PublicWebsite/PDF/Common/Molina%20Clinical%20Policy/Lower%20Extremity%20MRI.pdf
Commercial/ACA,Premera Blue Cross,ACL reconstruction,29888,VERIFIED,National,Knee Arthroscopy in Adults (7.01.549),"December 1, 2025",https://www.premera.com/medicalpolicies/7.01.549.pdf
Commercial/ACA,Premera Blue Cross,Arthroscopic rotator cuff repair,29827,VERIFIED,National,Shoulder Arthroscopy in Adults (7.01.602),"August 1, 2026",https://www.premera.com/medicalpolicies/7.01.602.pdf
Commercial/ACA,Premera Blue Cross,Cervical fusion / ACDF,22551,VERIFIED,National,"Cervical Spine Surgeries: Discectomy, Laminectomy, and Fusion in Adult","November 1, 2025",https://www.premera.com/medicalpolicies/7.01.560.pdf
Commercial/ACA,Premera Blue Cross,Hip arthroscopy,29914-29916,VERIFIED,National,Surgical Treatment of Femoroacetabular Impingement (7.01.592),"July 1, 2026",https://www.premera.com/medicalpolicies/7.01.592.pdf
Commercial/ACA,Premera Blue Cross,Lumbar fusion,22612,VERIFIED,National,Lumbar Spinal Fusion in Adults (7.01.542),"December 1, 2025",https://www.premera.com/medicalpolicies/7.01.542.pdf
Commercial/ACA,Premera Blue Cross,Lumbar microdiscectomy / decompression,63030,VERIFIED,National,"Lumbar Spine Decompression Surgery: Discectomy, Foraminotomy, Laminoto","September 1, 2025",https://www.premera.com/medicalpolicies/7.01.551.pdf
Commercial/ACA,Premera Blue Cross,Total ankle arthroplasty,27702,VERIFIED,National,Total Ankle Arthroplasty in Adults (7.01.599),"Jun. 1, 2026",https://www.premera.com/medicalpolicies/7.01.599.pdf
Commercial/ACA,Premera Blue Cross,Total hip arthroplasty (THA),27130,VERIFIED,National,Hip Arthroplasty in Adults (7.01.573),"April 1, 2026",https://www.premera.com/medicalpolicies/7.01.573.pdf
Commercial/ACA,Premera Blue Cross,Total knee arthroplasty (TKA),27447,VERIFIED,National,Knee Arthroplasty in Adults (7.01.550),"April 1, 2026",https://www.premera.com/medicalpolicies/7.01.550.pdf
Commercial/ACA,Premera Blue Cross,Total shoulder arthroplasty,23472,VERIFIED,National,Shoulder Arthroplasty (7.01.590),"April 1, 2026",https://www.premera.com/medicalpolicies/7.01.590.pdf
Commercial/ACA,Regence BCBS,Arthroscopic rotator cuff repair,29827,VERIFIED,National,"Shoulder Surgeries, Surgery Policy No. 228 (SUR228)","December 1, 2025",https://blue.regence.com/trgmedpol/surgery/sur228.pdf
Commercial/ACA,Regence BCBS,Hip arthroscopy,29914-29916,VERIFIED,National,"Femoroacetabular Impingement Surgery, Surgery Policy No. 160 (SUR160)","March 1, 2026",https://blue.regence.com/trgmedpol/surgery/sur160.pdf
Commercial/ACA,Regence BCBS,Lumbar fusion,22612,VERIFIED,National,"Lumbar Spinal Fusion, Surgery Policy No. 187 (SUR187)","July 1, 2026",https://blue.regence.com/trgmedpol/surgery/sur187.pdf
Medicaid,Arizona,All 12 procedures,,VERIFIED (state Medicaid doc),Arizona,AHCCCS Medical Policy Manual (AMPM) 820 - Fee-For-Service Prior Author,rev. 10/01/25,https://www.azahcccs.gov/shared/Downloads/MedicalPolicyManual/800/820.pdf
Medicaid,Arkansas,All 12 procedures,,VERIFIED (state Medicaid doc),Arkansas,AFMC Review Services - Prior Authorization (Arkansas Medicaid surgical,,https://review.afmc.org/review-services/prior-authorization
Medicaid,California,All 12 procedures,,VERIFIED (state Medicaid doc),California,Manual of Criteria for Medi-Cal Authorization,"August 5, 2004 (last rev. April 15, 2004",https://www.dhcs.ca.gov/formsandpubs/publications/Documents/Medi-Cal_PDFs/Manual_of_Criteria.pdf
Medicaid,Colorado,All 12 procedures,,VERIFIED (state Medicaid doc),Colorado,General Provider Information Manual - FFS Prior Authorization Requirem,,https://hcpf.colorado.gov/gen-info-manual
Medicaid,Delaware,All 12 procedures,,VERIFIED (state Medicaid doc),Delaware,Delaware Medical Assistance Program (DMAP) Practitioner Provider Speci,last update 02/21/2022,https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=1361&language=en-US&PortalId=0&TabId=94
Medicaid,Florida,All 12 procedures,,VERIFIED (state Medicaid doc),Florida,"Florida Medicaid Orthopedic Services Coverage Policy (Rule 59G-4.211, ",June 2016,https://ahca.myflorida.com/content/download/27070/file/59G-4.211%20Orthopedic%20Services%20Coverage%20Policy%20(1).pdf
Medicaid,Hawaii,All 12 procedures,,VERIFIED (state Medicaid doc),Hawaii,Hawaii Medicaid Provider Manual - Chapter 6: Medical/Surgical Services,"Issued Oct 2002, revised Jan 2011",https://medquest.hawaii.gov/content/dam/formsanddocuments/resources/Provider-Resources/provider-manuals/PMChp06.pdf
Medicaid,Idaho,All 12 procedures,,VERIFIED (state Medicaid doc),Idaho,Idaho Medicaid Provider Handbook - Medical Services,"December 23, 2025",https://www.idmedicaid.com/Provider%20Guidelines/Medical%20Services.pdf
Medicaid,Illinois,All 12 procedures,,VERIFIED (state Medicaid doc),Illinois,HFS Handbook for Practitioners Rendering Medical Services (Chapter 200,"June 16, 2021",https://hfs.illinois.gov/content/dam/soi/en/web/hfs/medicalproviders/handbooks/06162021practitionerhdbkpolicyapnasrenderingchangesfinal.pdf
Medicaid,Indiana,All 12 procedures,,VERIFIED (state Medicaid doc),Indiana,"IHCP Provider Reference Module: Surgical Services (PROMOD00047, v7.0)","Published June 19, 2025 (policies as of ",https://www.in.gov/medicaid/providers/files/modules/surgical-services.pdf
Medicaid,Iowa,All 12 procedures,,VERIFIED (state Medicaid doc),Iowa,Iowa Administrative Code 441-78.1 - Physicians' services (surgical pre,,https://www.legis.iowa.gov/docs/iac/rule/441.78.1.pdf
Medicaid,Kentucky,All 12 procedures,,VERIFIED (state Medicaid doc),Kentucky,907 KAR 3:005 - Coverage of physicians' services (Section 5: services ,eff. 7-16-2026,https://apps.legislature.ky.gov/law/kar/titles/907/003/005/
Medicaid,Louisiana,All 12 procedures,,VERIFIED (state Medicaid doc),Louisiana,"Louisiana Medicaid Services Manual, Chapter 5: Professional Services",Issued 12/29/25,https://www.lamedicaid.com/provweb1/providermanuals/manuals/ps/ps.pdf
Medicaid,Maryland,All 12 procedures,,VERIFIED (state Medicaid doc),Maryland,Maryland Medical Assistance Program - 2026 Professional Services and P,January 2026,https://health.maryland.gov/mmcp/provider/Documents/2026-Professional-Services-Provider-Manual.pdf
Medicaid,Massachusetts,ACL reconstruction,29888,VERIFIED (procedure criteria),Massachusetts,MassHealth Guidelines for Medical Necessity Determination for Knee Art,"June 1, 2018",https://www.mass.gov/doc/guidelines-for-medical-necessity-determination-for-knee-arthroscopy-0/download
Medicaid,Massachusetts,Total knee arthroplasty (TKA),27447,VERIFIED (procedure criteria),Massachusetts,MassHealth Guidelines for Medical Necessity Determination for Knee Art,"June 1, 2018",https://www.mass.gov/doc/guidelines-for-medical-necessity-determination-for-knee-arthroplasty/download
Medicaid,Michigan,All 12 procedures,,VERIFIED (state Medicaid doc),Michigan,MDHHS Michigan Medicaid Provider Manual (Practitioner and General Info,"July 1, 2026",https://www.mdch.state.mi.us/dch-medicaid/manuals/MedicaidProviderManual.pdf
Medicaid,Nebraska,All 12 procedures,,VERIFIED (state Medicaid doc),Nebraska,471 NAC Chapter 18 - Physicians' Services (Nebraska Medical Assistance,"July 10, 2022",https://govdocs.nebraska.gov/epubs/H8900/R471.0018-2022.pdf
Medicaid,New Jersey,All 12 procedures,,VERIFIED (state Medicaid doc),New Jersey,N.J.A.C. 10:54-3.2 Prior authorization (Physician Services chapter of ,,https://regulations.justia.com/states/new-jersey/title-10/chapter-54/subchapter-3/section-10-54-3-2/
Medicaid,New Mexico,All 12 procedures,,VERIFIED (state Medicaid doc),New Mexico,8.310.2 NMAC - General Benefit Description (Health Care Professional S,"January 1, 2014 (with later section amen",https://www.srca.nm.gov/parts/title08/08.310.0002.html
Medicaid,North Carolina,Cervical fusion / ACDF,22551,VERIFIED (procedure criteria),North Carolina,"NC Medicaid Clinical Coverage Policy No. 1A-30, Spinal Surgeries","July 15, 2024",https://medicaid.ncdhhs.gov/1a-30-spinal-surgeries/download?attachment
